"ID","STATUS","NAME"
351,0,"Cimarron County"
352,1,"Citrus County"
353,1,"City and Borough of Juneau"
354,1,"Clackamas County"
355,1,"Claiborne County"
356,1,"Claiborne Parish"
357,1,"Clallam County"
358,0,"Clare County"
359,1,"Clarendon County"
360,1,"Clarion County"
361,1,"Clark County"
362,1,"Clarke County"
363,1,"Clatsop County"
364,0,"Clay County"
365,0,"Clayton County"
366,0,"Clear Creek County"
367,1,"Clearfield County"
368,1,"Clearwater County"
369,0,"Cleburne County"
370,1,"Clermont County"
371,1,"Cleveland County"
372,1,"Clinch County"
373,1,"Clinton County"
374,0,"Cloud County"
375,1,"Coahoma County"
376,1,"Coal County"
377,1,"Co̦s County"
378,1,"Cobb County"
379,1,"Cochise County"
380,1,"Cochran County"
381,1,"Cocke County"
382,0,"Coconino County"
383,1,"Codington County"
384,1,"Coffee County"
385,1,"Coffey County"
386,1,"Coke County"
387,1,"Colbert County"
388,1,"Cole County"
389,1,"Coleman County"
390,1,"Coles County"
391,1,"Colfax County"
392,1,"Colleton County"
393,1,"Collier County"
394,0,"Collin County"
395,1,"Collingsworth County"
396,1,"Colonial Heights City"
397,1,"Colorado County"
398,1,"Colquitt County"
399,0,"Columbia County"
400,0,"Columbiana County"
401,1,"Columbus County"
402,1,"Colusa County"
403,0,"Comal County"
404,1,"Comanche County"
405,1,"Concho County"
406,1,"Concordia Parish"
407,1,"Conecuh County"
408,1,"Conejos County"
409,0,"Contra Costa County"
410,1,"Converse County"
411,1,"Conway County"
412,1,"Cook County"
413,1,"Cooke County"
414,1,"Cooper County"
415,0,"Coos County"
416,1,"Coosa County"
417,0,"Copiah County"
418,0,"Corson County"
419,1,"Cortland County"
420,1,"Coryell County"
421,1,"Coshocton County"
422,1,"Costilla County"
423,0,"Cottle County"
424,0,"Cotton County"
425,1,"Cottonwood County"
426,1,"Covington County"
427,1,"Coweta County"
428,0,"Cowley County"
429,0,"Cowlitz County"
430,0,"Craig County"
431,1,"Craighead County"
432,0,"Crane County"
433,1,"Craven County"
434,0,"Crawford County"
435,0,"Creek County"
436,1,"Crenshaw County"
437,1,"Crisp County"
438,0,"Crittenden County"
439,1,"Crockett County"
440,1,"Crook County"
441,1,"Crosby County"
442,0,"Cross County"
443,1,"Crow Wing County"
444,1,"Crowley County"
445,0,"Culberson County"
446,1,"Cullman County"
447,1,"Culpeper County"
448,1,"Cumberland County"
449,1,"Cuming County"
450,1,"Currituck County"
451,1,"Curry County"
452,1,"Custer County"
453,0,"Cuyahoga County"
454,1,"Dade County"
455,1,"Daggett County"
456,0,"Dakota County"
457,1,"Dale County"
458,1,"Dallam County"
459,0,"Dallas County"
460,1,"Dane County"
461,0,"Daniels County"
462,0,"Danville City"
463,1,"Dare County"
464,1,"Darke County"
465,1,"Darlington County"
466,1,"Dauphin County"
467,1,"Davidson County"
468,1,"Davie County"
469,1,"Daviess County"
470,1,"Davis County"
471,1,"Davison County"
472,1,"Dawes County"
473,1,"Dawson County"
474,1,"Day County"
475,0,"De Baca County"
476,0,"De Kalb County"
477,1,"De Soto Parish"
478,1,"De Witt County"
479,1,"Deaf Smith County"
480,1,"Dearborn County"
481,1,"Decatur County"
482,1,"Deer Lodge County"
483,0,"Defiance County"
484,0,"Dekalb County"
485,1,"Del Norte County"
486,0,"Delaware County"
487,1,"Delta County"
488,1,"Denali Borough"
489,1,"Dent County"
490,0,"Denton County"
491,1,"Denver County"
492,1,"Des Moines County"
493,1,"Deschutes County"
494,1,"Desha County"
495,1,"Desoto County"
496,1,"Deuel County"
497,1,"Dewey County"
498,0,"Dickens County"
499,0,"Dickenson County"
500,1,"Dickey County"
501,0,"Dickinson County"
502,1,"Dickson County"
503,1,"Dillingham Census Area"
504,1,"Dillon County"
505,1,"Dimmit County"
506,1,"Dinwiddie County"
507,1,"District of Columbia"
508,1,"Divide County"
509,1,"Dixie County"
510,1,"Dixon County"
511,0,"Do̱a Ana County"
512,1,"Doddridge County"
513,1,"Dodge County"
514,0,"Dolores County"
515,1,"Dona Ana County"
516,1,"Doniphan County"
517,1,"Donley County"
518,1,"Dooly County"
519,1,"Door County"
520,1,"Dorchester County"
521,1,"Dougherty County"
522,0,"Douglas County"
523,0,"Drew County"
524,1,"Dubois County"
525,1,"Dubuque County"
526,1,"Duchesne County"
527,1,"Dukes County"
528,0,"Dundy County"
529,1,"Dunklin County"
530,1,"Dunn County"
531,0,"Dupage County"
532,1,"Duplin County"
533,0,"Durham County"
534,1,"Dutchess County"
535,1,"Duval County"
536,1,"Dyer County"
537,1,"Eagle County"
538,1,"Early County"
539,1,"East Baton Rouge Parish"
540,0,"East Carroll Parish"
541,1,"East Feliciana Parish"
542,1,"Eastland County"
543,1,"Eaton County"
544,1,"Eau Claire County"
545,1,"Echols County"
546,1,"Ector County"
547,1,"Eddy County"
548,1,"Edgar County"
549,1,"Edgecombe County"
550,0,"Edgefield County"
551,1,"Edmonson County"
552,1,"Edmunds County"
553,1,"Edwards County"
554,1,"Effingham County"
555,0,"El Dorado County"
